Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,,,,4.76390981674194,4.39554023742676,4.71468019485474,4.73986005783081,4.92364978790283,,4.40848016738892,4.68132019042969,,4.81504011154175,4.9992299079895,5.9247899055481,6.92926979064941,6.11913013458252,6.54905986785889,6.44295978546143,5.85128021240234,5.88826990127563,5.4913501739502,,,,,
Africa Eastern and Southern,AFE,,,,,4.46733486652374,3.76910996437073,4.57257986068725,,,3.74496006965637,3.81897008419037,3.7844899892807,,3.84499514102936,3.58538007736206,4.49659013748169,4.26929998397827,4.67736506462097,4.6217348575592,4.83983993530273,4.81508517265319,4.82187509536743,4.96308994293213,4.95163488388062,4.84684491157532,4.60817003250122,
Afghanistan,AFG,,,,,,,,,,,2.5699999332428,2.90000009536743,2.84999990463257,3.50999999046326,3.73000001907349,3.4794499874115,3.4620099067688,3.3199999332428,3.45445990562439,3.69521999359131,3.2558000087738,3.5119800567627,3.37331008911133,3.19979000091553,3.21377992630005,,
Africa Western and Central,AFW,,,,,2.51417005062103,2.5650200843811,2.42614006996155,2.59414494037628,2.75125002861023,2.68110001087189,2.72683000564575,2.56340003013611,2.94639003276825,2.72311997413635,3.08927011489868,3.07808995246887,2.86576008796692,2.87204003334045,3.02971005439758,2.91422998905181,3.11513507366181,2.7805792093277,3.43022084236145,3.0132200717926,3.02303826808929,3.17388534545899,
Angola,AGO,,,,2.56712007522583,,2.60753011703491,,,,,2.12011003494263,2.28146004676819,2.92000007629395,2.69000005722046,3.21000003814697,3.42131996154785,3.02999997138977,3.08191084861755,4.43894958496094,3.12291765213013,3.48689579963684,2.7549364566803,2.46687889099121,2.04470133781433,1.92745733261108,2.41520023345947,
Albania,ALB,3.81464004516602,3.08350992202759,3.37947010993958,3.53697991371155,3.59293007850647,3.4301700592041,3.45869994163513,3.11779999732971,3.13823008537292,3.22751998901367,3.28154993057251,3.1914598941803,3.27592992782593,,,,3.07999992370605,2.9300000667572,3.53929996490479,3.04999995231628,3.43796992301941,3.96209001541138,3.61173009872437,,3.91665005683899,3.09999990463257,
Andorra,AND,,,3.71327996253967,,,,,1.65971004962921,,1.54411995410919,1.64497005939484,2.24489998817444,2.10469007492065,2.87392997741699,3.14292001724243,2.97662997245789,2.98706007003784,,2.50616002082825,3.07420992851257,3.28034996986389,3.23707008361816,3.21708989143372,3.2467200756073,3.15060997009277,,2.88000011444092
Arab World,ARB,,,,,,,,,,4.67072010040283,,4.00178003311157,,4.22755002975464,3.58999991416931,,,,3.97692012786866,,,4.71000003814697,4.91992783546448,,3.42791998386383,,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,3.86736989021301,3.87986993789673,
Argentina,ARG,,3.73198008537292,,4.03986978530884,4.52167987823486,4.58030986785889,4.833740234375,4.01734018325806,3.53504991531372,3.48652005195618,3.86000990867615,4.12821006774902,4.46260023117065,4.84440994262695,5.53105020523071,5.01971006393433,5.29062986373901,5.34582996368408,5.43661022186279,5.36144018173218,5.77611017227173,5.54548978805542,5.45431995391846,4.87773990631104,4.72417020797729,,
Armenia,ARM,,1.84843003749847,,,2.23518991470337,2.77273011207581,2.46943998336792,2.13504004478455,2.1450400352478,2.48673009872437,2.71202993392944,2.71577000617981,3.01893997192383,3.17272996902466,3.84079003334045,3.24900007247925,3.14385008811951,2.77248001098633,2.65018010139465,2.24724006652832,2.80591011047363,2.75812005996704,2.70759010314941,2.25587010383606,2.56185007095337,2.70567011833191,
American Samoa,ASM,,,,,,,,,,,,14.7170495986938,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,2.75396990776062,,,3.39525008201599,,,,,,,2.50888991355896,,,,,,,2.43080449104309,2.44847750663757,2.64407563209534,2.83133506774902,3.453125,3.83624577522278
Australia,AUS,5.13413000106812,5.23099994659424,,,,4.88731002807617,,,,,4.89851999282837,4.74065017700195,4.65621995925903,4.63278007507324,5.08451986312866,5.54303979873657,5.06995010375977,4.86787986755371,5.22923994064331,5.1646900177002,5.31583976745605,5.28623008728027,5.13680982589722,5.12344980239868,,,
Austria,AUT,5.42834997177124,5.25990009307861,,6.10374021530151,6.11233997344971,5.58880996704102,5.57547998428345,5.52213001251221,5.36183023452759,5.30243015289307,5.24937009811401,5.22652006149292,5.14690017700195,5.26395988464355,5.73024988174438,5.70047998428345,5.59226989746094,5.48040008544922,5.54711008071899,5.44761991500854,5.45658016204834,5.4796199798584,5.37159013748169,5.22452020645142,,,
