Country Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,5084815803,4478141131,4739305120,4443540985,5722502787,5401733242,4488594404,4895651490,5646539416,7366020357,8391802332,10168981009,11233010788,13548342319,13534612776,11939662796,13243429788,13839864655,15581977215,16829352906,15383318098,13659413872,16158643503,12265438298,11708245732,10576660181,
Afghanistan,,,,,,,,,,125111557.5,122727193.1,131346231.3,219580214.3,240532594.6,251869514.8,298146852.5,325807003.7,238583385.4,217194107.1,268227074.2,199518614.8,185878310.1,191407113.2,198074728.6,225835643.9,279576954.9,
Africa Western and Central,1114380571,1243017431,1365594415,1620236437,1017572599,959300982.6,1269265106,1677374104,1793043312,1954643947,2017138276,2343571720,2946414822,4419067281,4305313794,4657690435,4988713151,4921502461,6171135414,6451564750,5016333439,5575535215,5510400668,6327621929,6183403985,7038810964,
Angola,233843714.9,159741933.5,456780475,170278292.6,1066588789,583621333.6,404299140,438686245.4,670021164.4,817533582.2,1365055399,1970309115,2032432883,3163591147,3311193245,3500794836,3639496374,4144634851,6090751702,6846249313,3608299115,2764054937,3062872914,1983613748,1470938717,993594404.6,
Albania,50907521.78,45713356.11,29825492,33638047.44,42784205.21,45362503.39,53232045.16,58649352.5,76142881.76,100922358.4,110140852.7,140983900.7,194840309.2,255677957.8,182736862.5,185893242,197006789.2,183204695.7,180015508.8,178120368,132350667.6,130853162.6,144382688.7,175886688.6,197225913.3,222022691.3,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,26684323434,26486123009,35484055036,39322695875,36889627319,40740633349,42770280444,40851036167,42622220140,48508764668,54649194506,61282170542,73572238704,86261643586,91504042712,97976367584,1.07922E+11,1.21984E+11,1.42684E+11,1.55223E+11,1.3795E+11,1.11884E+11,1.19045E+11,1.20315E+11,1.09318E+11,1.05044E+11,
United Arab Emirates,,,3335766741,4010347175,4233083730,5875833901,5797957794,5354118448,5834717495,6816882233,6604220558,7165418652,8460993873,11571681416,13836351259,17504697073,19181756297,19024098026,23561061947,22755071477,,,,,,,
Argentina,3801950488,3379138770,3340670335,3398699350,3461730865,3266633317,3183591796,1114172483,1374873734,1465809188,1699579152,1847553130,2296448242,2788980205,2981852290,3475348407,4051930105,4563217859,5137974301,4979442724,5482616701,4509647660,5459643672,3842852365,3132654926,2907185374,
