Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,,,,,,777,751,732,710,680,643,608,577,551,526,501,480,462,446,433,419,408,398,,,,
Afghanistan,AFG,,,,,,1450,1390,1300,1240,1180,1140,1120,1090,1030,993,954,905,858,810,786,701,673,638,,,,
Africa Western and Central,AFW,,,,,,1000,987,973,954,924,890,858,834,821,810,798,789,778,767,758,744,729,717,,,,
Angola,AGO,,,,,,827,766,690,628,574,519,473,431,395,359,326,300,281,269,258,251,246,241,,,,
Albania,ALB,,,,,,23,23,21,21,18,22,18,19,20,20,21,22,17,16,16,15,16,15,,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,,,,,,250,243,235,235,226,214,211,201,188,180,174,167,163,157,156,153,152,149,,,,
United Arab Emirates,ARE,,,,,,6,6,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,,,,
Argentina,ARG,,,,,,66,67,65,65,61,59,57,56,53,56,51,48,47,44,42,41,40,39,,,,
Armenia,ARM,,,,,,43,42,39,38,36,35,36,32,36,32,32,30,30,26,27,28,26,26,,,,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,44,44,43,44,41,40,46,48,50,45,44,43,44,43,42,43,43,42,,,,
Australia,AUS,,,,,,7,6,6,6,5,5,5,5,5,5,5,6,6,6,6,6,6,6,,,,
Austria,AUT,,,,,,6,6,6,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,,,,
Azerbaijan,AZE,,,,,,47,44,43,44,39,42,35,34,32,32,31,30,29,28,28,27,26,26,,,,
Burundi,BDI,,,,,,1010,956,925,890,844,814,785,756,733,698,665,635,608,591,576,568,558,548,,,,
Belgium,BEL,,,,,,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,,,,
Benin,BEN,,,,,,520,516,511,510,505,500,493,486,480,471,464,458,450,441,432,421,408,397,,,,
Burkina Faso,BFA,,,,,,516,501,486,471,454,437,422,410,401,393,385,377,369,362,353,343,331,320,,,,
Bangladesh,BGD,,,,,,434,423,410,395,372,343,315,297,280,269,258,248,238,227,214,200,186,173,,,,
Bulgaria,BGR,,,,,,19,18,17,16,16,15,14,13,13,12,12,12,11,10,11,10,10,10,,,,
Bahrain,BHR,,,,,,27,19,25,21,21,19,24,16,18,19,18,15,18,17,15,15,15,14,,,,
"Bahamas, The",BHS,,,,,,75,76,78,79,78,77,78,77,77,78,78,78,78,78,77,74,72,70,,,,
Bosnia and Herzegovina,BIH,,,,,,17,16,14,14,14,13,13,13,11,11,11,10,10,10,10,10,10,10,,,,
Belarus,BLR,,,,,,22,19,18,15,13,11,9,7,6,6,5,5,4,3,3,3,3,2,,,,
Belize,BLZ,,,,,,89,88,82,80,75,70,65,61,59,57,54,52,50,48,46,43,39,36,,,,
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,,,,,,331,320,309,297,283,271,258,246,234,222,212,202,192,184,175,168,161,155,,,,
Brazil,BRA,,,,,,69,68,69,70,71,71,72,71,70,69,65,61,60,61,62,63,62,60,,,,
Barbados,BRB,,,,,,50,48,47,45,43,42,41,40,39,38,36,35,34,32,31,31,30,27,,,,
