Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,40708,42300,43614,44759,45858,47019,48249,49506,50706,51716,52454,52895,53086,53109,53112,53200,53402,53695,54050,54408,54742,55044,55328,55602,55867,56124,56367
Africa Eastern and Southern,AFE,176383443,181135920,185952841,190850451,195855459,200985544,206249128,211655114,217219737,222965267,228908107,235056143,241410391,247972024,254736483,261702432,268866603,276231936,283785702,291513480,299403888,307452123,315655751,324003969,332485163,341090736,349813627
Afghanistan,AFG,8718035,9082951,9344885,9553498,9784258,10090449,10489238,10958668,11466237,11962963,12414590,12809162,13161572,13496556,13850751,14249755,14702050,15196504,15715314,16232001,16727437,17196034,17644126,18078879,18512030,18952076,19400447
Africa Western and Central,AFW,116861054,119994768,123226195,126551874,129965003,133462296,137042841,140713935,144490048,148390233,152428247,156610597,160934220,165391199,169968863,174658066,179456229,184366749,189393102,194540936,199813894,205213033,210735530,216376208,222127882,227985427,233946412
Angola,AGO,6984738,7218187,7459618,7709857,7969817,8240458,8521795,8814755,9122235,9447886,9794134,10162225,10551020,10957506,11377265,11806970,12245836,12694373,13151985,13618285,14093136,14576127,15067450,15568328,16080520,16605398,17143471
Albania,ALB,1617400,1605627,1586848,1564426,1543050,1525873,1509233,1506138,1504374,1502239,1497383,1489229,1478257,1466219,1454862,1445588,1438949,1433116,1426832,1420670,1414246,1410814,1409327,1406333,1401011,1393469,1380834
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,123778399,126711341,129642307,132547056,135454007,138369759,141291510,144229745,147220575,150310846,153533815,156899292,160396838,164016302,167730225,171518007,175384870,179326140,183297548,187242559,191123779,194912155,198619733,202328788,206119753,210055400,214159842
United Arab Emirates,ARE,811508,848997,887893,928516,971239,1016932,1063983,1113817,1173726,1253344,1358723,1492804,1651188,1823380,1994691,2154032,2298030,2428283,2544751,2648905,2742042,2823141,2891724,2950609,3003720,3054051,3102738
Argentina,ARG,17883600,18106091,18327460,18546976,18763440,18976071,19185008,19390957,19594321,19795649,19995559,20193900,20391134,20589210,20790604,20941910,21178884,21415097,21650186,21883730,22115261,22344847,22572521,22797803,23020216,23239321,23455139
Armenia,ARM,1693335,1672643,1657791,1647242,1638218,1628677,1618693,1609123,1599617,1589758,1579392,1568085,1556118,1544816,1536021,1530963,1530148,1532984,1538334,1544503,1550226,1555133,1559427,1563141,1566459,1569487,1572135
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,35885,36810,37754,38681,39545,40297,40924,41444,41886,42338,42832,43401,44012,44663,45299,45912,46487,47034,47559,48060,48543,49002,49439,49863,50264,50659,51050
Australia,AUS,9081705,9199166,9297311,9387978,9489571,9598862,9727041,9846313,9969174,10085124,10216808,10363782,10422152,10626574,10843809,11013858,11172755,11378171,11586371,11770519,11948693,12141288,12349632,12541215,12733486,12898338,12922434
Austria,AUT,4111974,4111896,4111546,4111725,4116125,4123171,4136937,4156033,4175478,4200660,4228324,4247864,4259861,4271066,4279831,4287444,4299034,4315556,4337527,4367372,4411651,4453787,4478340,4493586,4507562,4521310,4537494
Azerbaijan,AZE,3931750,3972111,4010797,4048629,4082757,4113396,4140710,4165648,4190435,4220362,4257347,4298722,4342687,4430218,4518717,4568408,4624010,4681717,4738628,4794145,4847591,4898038,4942298,4981391,5020148,5051462,5074832
Burundi,BDI,3061896,3098079,3127093,3155804,3193517,3246943,3318648,3406889,3508789,3619552,3735550,3856333,3982782,4114011,4249199,4387755,4528952,4672691,4819833,4971727,5129299,5292745,5461514,5634849,5811589,5990917,6172572
Belgium,BEL,5175217,5185158,5197588,5208451,5219839,5231510,5248012,5269639,5289562,5310399,5337874,5371633,5409818,5451570,5494816,5544815,5617613,5653189,5679989,5703536,5732314,5753945,5766141,5781326,5802420,5822396,5839278
Benin,BEN,3010794,3103701,3196075,3289037,3384292,3483088,3585778,3691953,3801242,3913010,4026821,4142660,4260764,4381293,4504448,4630420,4759222,4890899,5025698,5163932,5305830,5451503,5600895,5753796,5909895,6068950,6230889
Burkina Faso,BFA,5147239,5289053,5435867,5587701,5744496,5906289,6073090,6245192,6423210,6607939,6799932,6999445,7206343,7420314,7640862,7867592,8100461,8339523,8584578,8835398,9091844,9353835,9621388,9894592,10173609,10458565,10749446
Bangladesh,BGD,55876132,57101958,58344078,59593268,60836454,62062864,63271242,64460652,65621300,66741555,67813911,68833643,69804543,70738452,71652503,72559741,73463440,74361840,75256812,76149165,77039130,77928241,78816353,79699596,80572382,81430275,82271788
Bulgaria,BGR,4290995,4273604,4251833,4227182,4206651,4188546,4108086,4021456,3990835,3961457,3931942,3901938,3872722,3844865,3819570,3794289,3770298,3749213,3729310,3709343,3686934,3662344,3636886,3611859,3587537,3566901,3549562
Bahrain,BHR,238801,246051,254071,262923,272674,283385,294861,307145,320830,336655,355017,376356,400131,424602,447377,466813,482116,493912,503660,513533,525097,538855,554227,570464,586367,601109,614420
"Bahamas, The",BHS,141746,144025,146178,148299,150496,152870,155430,158124,160976,163970,167075,170333,173698,177029,180150,182929,185312,187327,189106,190815,192592,194446,196365,198313,200256,202155,203997
Bosnia and Herzegovina,BIH,1950642,1919213,1904836,1903044,1906472,1909565,1911254,1912945,1914271,1915273,1915817,1915826,1914514,1910269,1901145,1885941,1863814,1835725,1804557,1774341,1748019,1726540,1709262,1695554,1684199,1674206,1665632
Belarus,BLR,5414486,5395085,5370591,5344243,5319112,5294875,5270698,5241939,5211247,5181953,5152390,5126055,5107216,5093492,5083923,5074695,5063427,5054917,5051647,5053021,5058590,5062381,5056547,5045602,5035043,5012881,4990262
Belize,BLZ,102721,106058,109999,114306,118646,122794,126663,130322,133849,137430,141136,145011,148995,153039,157107,161137,165121,169084,173008,176919,180791,184647,188479,192273,196070,199860,203660
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,3786286,3864421,3943485,4023223,4103291,4183450,4263569,4343643,4423766,4504108,4584778,4665756,4746982,4828485,4910315,4992487,5075025,5157863,5240835,5323698,5406288,5488505,5570366,5651979,5733491,5815010,5896513
Brazil,BRA,81604530,82942141,84281598,85613794,86926088,88208705,89459431,90679052,91864663,93013715,94125016,95196581,96229936,97231896,98211956,99177368,100129355,101066961,101992473,102907992,103814243,104712864,105601737,106473081,107316359,108123626,108891925
Barbados,BRB,137999,138602,139226,139862,140479,141059,141594,142102,142595,143113,143674,144306,144981,145651,146253,146745,147110,147358,147525,147656,147779,147896,148006,148115,148208,148287,148359
Brunei Darussalam,BRN,141768,146324,151067,155813,160335,164416,168022,171179,173952,176429,178683,180728,182568,184299,186047,187915,189944,192127,194417,196756,199086,201415,203753,206056,208314,210496,212584
Bhutan,BTN,260708,264425,269871,276380,282923,288731,293644,297894,301621,305108,308582,312011,315351,318644,321991,325419,328979,332656,336413,340164,343867,347496,351064,354586,358062,361525,364949
Botswana,BWA,762874,780350,797787,815027,831779,847900,863288,878119,892835,908062,924207,941550,959935,978824,997437,1015242,1031977,1047927,1063856,1080798,1099500,1120211,1142607,1166046,1189587,1212526,1234670
Central African Republic,CAF,1634152,1677486,1720193,1762302,1804003,1845398,1886113,1925842,1964888,2003719,2042502,2081976,2121636,2159049,2190888,2215124,2230666,2239125,2244484,2252275,2266606,2288847,2318147,2353555,2393206,2435722,2481019
Canada,CAN,14795775,14951719,15099788,15223145,15344448,15485188,15651822,15820650,15961652,16108836,16258927,16420787,16577534,16754826,16945066,17133868,17303497,17494958,17683847,17864828,17999309,18202997,18419735,18677663,18943318,19158588,19259745
Central Europe and the Baltics,CEB,56548650,56454106,56375103,56305326,56239007,55949119,55570144,55236846,55088854,54959586,54826957,54700453,54506222,54315700,54209377,54004628,53861514,53718055,53581251,53447753,53307441,53158783,53019188,52910281,52834692,52714426,52450780
Switzerland,CHE,3602110,3617905,3626449,3636992,3654041,3674151,3696880,3724183,3750766,3774846,3796494,3816924,3846987,3891454,3935497,3971919,4011709,4050081,4092758,4139234,4183323,4226492,4263869,4293531,4322594,4351871,4381096
Channel Islands,CHI,73959,74383,74858,75338,75779,76142,76393,76555,76715,76956,77354,77938,78691,79518,80327,81036,81623,82104,82560,83062,83671,84408,85256,86150,87010,87789,88459
Chile,CHL,7309593,7413348,7513445,7610020,7703459,7794185,7882066,7967282,8051012,8134816,8219838,8306863,8395791,8485911,8576060,8665530,8752531,8837489,8924483,9019145,9124556,9243814,9373183,9500750,9610261,9690540,9737022
China,CHN,586672507,592868311,598982994,604764109,610004104,614775825,619165993,623205125,626956157,630545489,634130240,637560457,640793072,644001246,647159372,650275748,653862696,658376480,662872951,667184667,671212022,675220615,679486853,682854786,685480283,687328990,688172455
Cote d'Ivoire,CIV,6831129,7063640,7298174,7531153,7758050,7975896,8183406,8382363,8576950,8773074,8975373,9185251,9402489,9628035,9862515,10106430,10360527,10625267,10900328,11185031,11478829,11781686,12093608,12414060,12742348,13077895,13420382
Cameroon,CMR,6831600,7017468,7205067,7395619,7590734,7791677,7998955,8212674,8433249,8661010,8896229,9139126,9389810,9648222,9914162,10187444,10468054,10755870,11050423,11351123,11657496,11969336,12286573,12609010,12936459,13268789,13605827
"Congo, Dem. Rep.",COD,21002524,21589557,22120551,22627601,23157971,23746689,24403745,25121036,25893609,26710607,27564081,28454736,29386784,30359388,31371535,32422236,33510549,34635680,35796890,36993480,38224572,39489787,40787891,42116217,43471465,44851232,46254249
"Congo, Rep.",COG,1375384,1414592,1455228,1497163,1540143,1584091,1628635,1674007,1721311,1772069,1827170,1887302,1951730,2018345,2084233,2147328,2206804,2263417,2318674,2374824,2433522,2495201,2559385,2625622,2693146,2761414,2830380
Colombia,COL,18525387,18869052,19208736,19544198,19875544,20202658,20525349,20842746,21153274,21455009,21746639,22029131,22303332,22567928,22821214,23063041,23288625,23500706,23715462,23954672,24231886,24556894,24919763,25290276,25626250,25898320,26094433
Comoros,COM,236593,243096,249648,256243,262867,269505,276169,282854,289619,296524,303613,310902,318386,326070,333967,342069,350390,358914,367616,376437,385346,394323,403368,412488,421681,430942,440292
Cabo Verde,CPV,200787,205437,209910,214199,218290,222169,225856,229315,232491,235318,237746,239751,241392,242887,244546,246578,249091,251994,255181,258457,261670,264791,267873,270898,273900,276871,279806
Costa Rica,CRI,1762669,1806590,1850436,1893469,1934770,1973722,2009976,2043743,2075608,2106442,2136918,2167187,2197124,2226713,2255890,2284596,2312869,2340768,2368302,2395474,2422275,2448697,2474720,2500214,2525022,2549038,2572219
Caribbean small states,CSS,3110776,3134359,3156341,3177399,3198540,3220485,3243493,3267294,3291553,3315744,3339433,3362569,3385282,3407879,3430757,3454274,3478492,3503211,3528134,3552848,3576969,3600422,3623204,3645305,3666800,3687636,3707811
Cuba,CUB,5440807,5469793,5499384,5528521,5555567,5579325,5599861,5617539,5631843,5642192,5648371,5649794,5647112,5642859,5640438,5642215,5649261,5660661,5674335,5687218,5697027,5703178,5706299,5706812,5705556,5703148,5699579
Curacao,CUW,76405,77174,77661,76473,73898,71010,68467,68530,69932,71178,73133,75259,77056,78357,79155,80376,81662,82412,83375,84504,85606,86480,86707,86194,85105,83687,82233
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,423598,432879,442018,450931,459549,467861,475702,483117,490494,498402,507183,517084,527828,538701,548672,557035,563479,568305,572061,575624,579592,584159,589134,594287,599277,603847,607958
