Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,39616,40911,41836,42521,43151,43847,44643,45486,46310,47028,47574,47935,48140,48253,48340,48465,48648,48870,49115,49368,49597,49821,50033,50244,50443,50642,50828
Africa Eastern and Southern,AFE,173222217,177817675,182487750,187247942,192122531,197127500,202273001,207568603,213026898,218664882,224495969,230525229,236756520,243201136,249868189,256765797,263893821,271250927,278815876,286561893,294467959,302526823,310737129,319086162,327561109,336152563,344851490
Afghanistan,AFG,9392627,9770493,10012241,10184272,10386589,10689508,11117754,11642106,12214634,12763726,13239684,13623896,13938970,14225725,14544055,14935756,15415361,15964874,16554278,17138803,17686166,18186994,18651985,19093043,19529727,19976265,20434981
Africa Western and Central,AFW,116946573,120119411,123387555,126750436,130205345,133752248,137391053,141128545,144979482,148962865,153092341,157374877,161807436,166381131,171081674,175898820,180829210,185876268,191044794,196342043,201772757,207338266,213034400,218853173,224783716,230818049,236952458
Angola,AGO,6960467,7182535,7411954,7649743,7897054,8155019,8423958,8704663,8999242,9310252,9639470,9987680,10354340,10738130,11137010,11549277,11974824,12413552,12863801,13323488,13791244,14266355,14749319,15241459,15744779,16260870,16790140
Albania,ALB,1570384,1562406,1561433,1564104,1565728,1563154,1550940,1544872,1535242,1524700,1514104,1503318,1491760,1481095,1472657,1467433,1466246,1467285,1468260,1468434,1466457,1465287,1464130,1460043,1453180,1444380,1430832
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,129328903,132289596,135179860,138028721,140939802,143974382,147140643,150435457,153893294,157552000,161431961,165553472,169893914,174379634,178898954,183372090,187771976,192111502,196398929,200657276,204904522,209130737,213323092,217523201,221750520,226025328,230357941
United Arab Emirates,ARE,1603591,1690124,1783468,1884698,1994790,2117135,2238739,2364952,2538205,2815233,3229499,3807368,4517658,5266106,5922677,6395966,6648748,6713315,6653157,6565277,6520854,6537834,6595482,6680357,6766806,6836349,6888345
Argentina,ARG,16944568,17140285,17329978,17516475,17703778,17894725,18090636,18290786,18493545,18696321,18897365,19095976,19293169,19490949,19692182,19846543,20082606,20318174,20552749,20785770,21016705,21245521,21472290,21696699,21918496,22137442,22353608
Armenia,ARM,1524014,1495570,1475290,1461449,1450802,1440920,1431993,1424853,1418321,1410957,1401870,1390216,1376497,1362799,1352073,1346351,1346388,1351255,1359259,1367900,1375333,1381014,1385362,1388600,1391269,1393747,1395993
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,32787,33366,33953,34538,35129,35710,36288,36854,37425,38009,38630,39314,40017,40731,41444,42118,42763,43373,43951,44502,45028,45518,45986,46419,46851,47269,47678
Australia,AUS,8990295,9111834,9219689,9323022,9436429,9554138,9685959,9805087,9926226,10042276,10177992,10334118,10405448,10622626,10847891,11017892,11167269,11355294,11541758,11705167,11867302,12049619,12252228,12441473,12632259,12794929,12816822
Austria,AUT,3836304,3847121,3856495,3865064,3876199,3888395,3905356,3925924,3945945,3971306,3999505,4020777,4035626,4050430,4063492,4075960,4092609,4114435,4142296,4178984,4231048,4282881,4319226,4346935,4372358,4395554,4418785
Azerbaijan,AZE,3753100,3790889,3827453,3864371,3899993,3935204,3970490,4006302,4043665,4086138,4134503,4185828,4238613,4333182,4428526,4485924,4549072,4614067,4678173,4740934,4801750,4859774,4911735,4958380,5004135,5041659,5070380
Burundi,BDI,2925148,2962031,2995037,3029760,3073615,3131928,3206898,3297229,3400372,3512136,3629307,3751517,3879444,4012093,4148462,4287851,4429454,4573301,4720469,4872574,5030735,5195257,5365496,5540530,5718988,5899864,6082857
Belgium,BEL,4961594,4971479,4983657,4994557,5006580,5019740,5038558,5063146,5086571,5110738,5140743,5176325,5215882,5258403,5301677,5350771,5420651,5453743,5479418,5505521,5541882,5577477,5609017,5645728,5686560,5721845,5748604
Benin,BEN,2894758,2990571,3085569,3181238,3279810,3382858,3490950,3603447,3719314,3836993,3955402,4074233,4194026,4315622,4440265,4568834,4701607,4838355,4978896,5122907,5270132,5420569,5574297,5731239,5891256,6054248,6220142
Burkina Faso,BFA,4942641,5083681,5229685,5381021,5538200,5701662,5871499,6047905,6231414,6422637,6622003,6829728,7045686,7269411,7500236,7737619,7981454,8231729,8488213,8750631,9018772,9292515,9571848,9856874,10147774,10444713,10747651
Bangladesh,BGD,59293801,60547969,61816493,63089550,64353201,65594998,66817467,68017425,69170298,70244874,71221594,72087511,72855838,73565712,74272292,75015692,75809694,76643893,77504601,78368220,79217157,80048910,80869068,81677117,82473791,83259108,84031706
Bulgaria,BGR,4115072,4089222,4060235,4029604,4003973,3981626,3901056,3815705,3784492,3755403,3727030,3699084,3672616,3647696,3624873,3601310,3578030,3556675,3535805,3514595,3491057,3465478,3439061,3413178,3388224,3367114,3349563
Bahrain,BHR,324897,332610,340856,350774,363866,381225,402689,427995,457878,493191,534140,582067,635793,690043,737698,774051,796037,806030,811369,822540,846756,886938,939850,998976,1054797,1100474,1133875
"Bahamas, The",BHS,138433,139955,141185,142301,143567,145175,147188,149533,152147,154923,157773,160699,163689,166651,169450,172007,174271,176254,178056,179810,181608,183477,185384,187322,189230,191093,192917
Bosnia and Herzegovina,BIH,1878407,1845206,1831234,1831294,1836881,1841611,1844260,1846444,1847908,1848921,1849515,1849596,1848277,1843992,1834800,1819537,1797359,1769247,1738041,1707765,1681343,1659723,1642272,1628375,1616799,1606609,1597827
Belarus,BLR,4779345,4764484,4746842,4727720,4707626,4684735,4657851,4623609,4585502,4548193,4511525,4478869,4453737,4434493,4420660,4409141,4398216,4391919,4391564,4395494,4402486,4406998,4402442,4393183,4384715,4367071,4350052
Belize,BLZ,104241,107602,111576,115942,120333,124516,128405,132065,135579,139086,142662,146327,150036,153783,157548,161328,165115,168917,172699,176447,180135,183752,187296,190798,194281,197761,201255
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,3836048,3914847,3993968,4073538,4153775,4234820,4316675,4399179,4482054,4564936,4647523,4729693,4811456,4892972,4974475,5056110,5137926,5219814,5301540,5382819,5463444,5543317,5622487,5701161,5779611,5858019,5936423
Brazil,BRA,80415359,81672541,82927448,84171459,85392586,86581634,87736620,88858471,89944581,90992764,92002092,92970772,93900509,94798466,95674549,96536269,97385186,98220331,99043431,99855752,100657516,101450192,102232088,102996239,103733160,104435783,105101516
Barbados,BRB,127956,128445,128957,129472,129976,130452,130900,131321,131736,132170,132646,133169,133720,134295,134854,135386,135877,136340,136769,137169,137548,137902,138223,138525,138813,139084,139349
Brunei Darussalam,BRN,155344,158296,160895,163322,165879,168750,172015,175598,179343,183005,186429,189534,192399,195119,197855,200719,203743,206870,209997,213022,215828,218376,220728,222904,224982,226987,228948
Bhutan,BTN,273921,277046,281842,287998,294963,302283,309999,318131,326219,333701,340162,345393,349522,352967,356338,360083,364318,368926,373822,378889,384018,389210,394499,399810,405032,410087,414951
Botswana,BWA,706299,724374,742637,760800,778481,795433,811386,826518,841552,857471,874870,894361,915523,936812,956058,971864,983429,991624,998695,1007821,1021216,1039714,1062469,1088021,1114116,1139099,1162570
