Country Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,39172,40238,40970,41489,41947,42450,43045,43670,44245,44672,44888,44880,44688,44379,44051,43776,43820,44059,44351,44666,44978,45293,45614,45949,46294,46654,47022
Africa Eastern and Southern,94986520,98733565,102499055,106267351,110125774,114136170,118377760,122850151,127487552,132320448,137425436,142683199,147820966,153891037,160244637,166912605,173901249,181061819,188513993,196270604,204322110,212669776,221319466,230276235,239539517,249112475,258992446
Afghanistan,3916250,4093837,4220821,4321585,4434762,4587799,4790054,5031158,5293385,5563505,5824290,6055021,6263748,6464836,6680730,6927765,7212518,7528589,7865068,8204880,8535606,8852834,9164768,9476982,9797274,10131490,10482295
Africa Western and Central,77372831,80449684,83737431,87173656,90758152,94468306,98667898,103035908,107608667,112398933,117415817,122676606,128156920,133856733,139777233,145922388,152273428,158838089,165607296,172602709,179836016,187305752,195016097,202961117,211133789,219531155,228150040
Angola,6159458,6530151,6918999,7328065,7758424,8212003,8688765,9190862,9721266,10284524,10882818,11437892,12025599,12644651,13291077,13963065,14660281,15383123,16130308,16900844,17691524,18502164,19332895,20184724,21061028,21962884,22891614
Albania,1240399,1250518,1260414,1270214,1279853,1289391,1298584,1327220,1354848,1381828,1407298,1430886,1452398,1473392,1495260,1519519,1546929,1575788,1603505,1630119,1654503,1680247,1706345,1728969,1747593,1762645,1770478
Andorra,59812,60131,59932,59603,59647,60417,61994,64193,66745,69198,71209,72739,73842,74639,75096,75011,74306,73056,71511,70057,68903,68211,67873,67815,67876,67928,67962
Arab World,131351768,134842548,138406842,142044209,145772435,149612191,153594287,157691929,162002776,166570987,171562822,176916080,182152309,188077327,194146202,200303097,206243657,212084938,217948565,223788436,229821029,235741356,241572841,247404481,253306244,259344908,265545649
United Arab Emirates,1891481,1993032,2108719,2233073,2367188,2514650,2663810,2820134,3024184,3330985,3774363,4380486,5121561,5911710,6630162,7189437,7553138,7747413,7824292,7866608,7935894,8047162,8182525,8332904,8479742,8609395,8722116
Argentina,30705906,31145813,31579653,32009558,32438320,32867365,33297960,33728928,34159484,34588884,35015688,35439468,35861117,36284568,36714243,37055902,37543830,38027774,38509756,38990109,39467043,39940546,40410674,40877099,41339571,41796990,42248949
Armenia,2125284,2084082,2052293,2027675,2006226,1984986,1964184,1948905,1935615,1921598,1906159,1888550,1869219,1850406,1835095,1825368,1821998,1823993,1830236,1838076,1845589,1852180,1858250,1863995,1869846,1876112,1882713
American Samoa,45333,46643,47921,49139,50278,51217,51764,52221,52532,52640,52470,52016,51305,50476,49702,49126,48787,48666,48668,48699,48684,48603,48481,48336,48203,48106,48033
Antigua and Barbuda,23322,23572,23822,24056,24262,24419,24507,24349,24161,23973,23802,23661,23530,23402,23263,23097,22940,23077,23198,23302,23393,23484,23582,23684,23799,23927,24070
Australia,15342767,15521685,15672048,15811356,15967866,16133530,16326333,16550802,16780377,17000206,17250330,17531121,17666387,18049708,18451611,18767085,19056040,19414834,19775013,20095657,20410546,20755798,21133982,21488110,21845994,22158130,22228936
Austria,4895821,4880469,4864091,4847335,4834637,4824004,4820068,4821291,4822095,4829142,4839033,4839801,4832038,4823638,4812679,4800510,4792887,4817487,4861991,4916377,4988134,5058968,5110858,5153759,5196085,5238479,5283757
