Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,4.714680195,4.739860058,4.923649788,,4.408480167,4.68132019,,4.815040112,4.999229908,5.924789906,6.929269791,6.119130135,6.549059868,6.442959785,5.851280212,5.888269901,5.491350174,,,,,
Afghanistan,,,,,,2.569999933,2.900000095,2.849999905,3.50999999,3.730000019,3.479449987,3.462009907,3.319999933,3.454459906,3.695219994,3.255800009,3.511980057,3.373310089,3.199790001,3.213779926,,
Angola,2.607530117,,,,,2.120110035,2.281460047,2.920000076,2.690000057,3.210000038,3.421319962,3.029999971,3.081910849,4.438949585,3.122917652,3.4868958,2.754936457,2.466878891,2.044701338,1.927457333,2.415200233,
Albania,3.430170059,3.458699942,3.117799997,3.138230085,3.227519989,3.281549931,3.191459894,3.275929928,,,,3.079999924,2.930000067,3.539299965,3.049999952,3.437969923,3.962090015,3.611730099,,3.916650057,3.099999905,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,3.86736989,3.879869938,
Argentina,4.580309868,4.833740234,4.017340183,3.535049915,3.486520052,3.860009909,4.128210068,4.462600231,4.844409943,5.531050205,5.019710064,5.290629864,5.345829964,5.436610222,5.361440182,5.776110172,5.545489788,5.454319954,4.877739906,4.724170208,,
Armenia,2.772730112,2.469439983,2.135040045,2.145040035,2.486730099,2.712029934,2.715770006,3.018939972,3.172729969,3.840790033,3.249000072,3.143850088,2.772480011,2.650180101,2.247240067,2.80591011,2.75812006,2.707590103,2.255870104,2.561850071,2.705670118,
Antigua and Barbuda,,,3.395250082,,,,,,,2.508889914,,,,,,,2.430804491,2.448477507,2.644075632,2.831335068,3.453125,3.836245775
Australia,4.887310028,,,,,4.898519993,4.740650177,4.656219959,4.632780075,5.084519863,5.543039799,5.069950104,4.867879868,5.229239941,5.164690018,5.315839767,5.286230087,5.136809826,5.123449802,,,
Austria,5.588809967,5.575479984,5.522130013,5.361830235,5.302430153,5.249370098,5.226520061,5.146900177,5.263959885,5.730249882,5.700479984,5.592269897,5.480400085,5.547110081,5.447619915,5.456580162,5.47961998,5.371590137,5.224520206,,,
Azerbaijan,3.853990078,3.503420115,3.154459953,3.286149979,3.447700024,2.974620104,2.555520058,2.549279928,2.44092989,3.224309921,2.780620098,2.435640097,2.067630053,2.442130089,2.633039951,2.951679945,2.903409958,2.473819971,2.455430031,2.681080103,,
Burundi,2.645479918,2.903909922,3.004930019,,3.74496007,3.632159948,,,5.192900181,6.171949863,6.775249958,6.319250107,6.167860031,5.995359898,6.784520149,6.370540142,4.691999912,4.762020111,5.078649998,5.346684456,5.040983677,
Belgium,,,,,,5.795859814,,,6.332940102,6.458099842,6.442590237,6.431990147,,6.630529881,6.590469837,6.451570034,6.461730003,6.425340176,6.381370068,,,
Benin,2.113660097,2.365099907,2.159490108,2.283159971,2.566900015,2.656680107,2.56340003,2.363310099,2.777280092,3.089270115,3.679970026,4.397880077,3.562020063,3.327510118,3.161789894,3.17298007,2.899100065,3.535589933,2.931619883,2.965199947,3.003662109,
Burkina Faso,,,,,,3.941139936,3.982189894,4.07983017,,,3.502229929,3.985150099,3.603159904,4.083439827,4.053299904,3.67008996,,5.628469944,5.488609791,5.696845055,5.519075871,
Bangladesh,2.125080109,2.171930075,2.017149925,2.069390059,1.940140009,,2.131289959,2.202219963,2.05456996,1.939419985,,2.132699966,2.175499916,1.966160059,,,1.535539985,,,1.326320052,,
Bulgaria,,3.384239912,3.386080027,3.998450041,2.319950104,4.108799934,3.903460026,3.682640076,4.222380161,4.274290085,3.857969999,3.546979904,3.476370096,4.058229923,,,,4.075270176,,,,
Bahrain,,,,,,3.329999924,2.874409914,2.575000048,2.496779919,3.339999914,3.190000057,3.029999971,2.645309925,2.476890087,2.467459917,2.674540043,2.869999886,2.324520111,2.366607189,2.094912291,2.152053356,
Bahamas,2.232840061,,,,,2.289999962,,2.730000019,2.890000105,2.920000076,2.779999971,2.660000086,2.609999895,2.720000029,2.5,2.249901056,2.331181526,2.42276907,2.249673843,2.288417339,2.371343613,2.782222271
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,
Belarus,6.196619987,,,,5.712259769,5.871029854,6.076960087,5.152100086,,4.368939877,5.220039845,4.684790134,4.959640026,5.009419918,4.818309784,4.787519932,4.946549892,4.794990063,5.381110191,4.97947979,4.952449799,
