Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,0,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,2.431257869,1.992065699,1.896233996,2.566267352,2.335545702,2.087412553,1.945835694,1.821345454,1.17541612,1.076949768,1.298012878,0.994575823,0.956772141,0.9452268,1.006746292,1.118230603,1.369684411,
Angola,6.392603154,4.524353815,2.869932445,3.761479074,3.471180187,3.692240947,3.761495305,3.114054493,3.573120364,4.709610048,4.177584566,3.255660351,3.236659499,4.455239422,4.698454516,3.105426293,2.733340655,2.507985456,1.871775866,1.643740283,1.615852036,
Albania,1.246360242,1.309291375,1.320034494,1.336842924,1.381157942,1.350004971,1.567769089,1.820765344,1.984868857,1.51721714,1.558591893,1.528266338,1.487082577,1.408982101,1.346515991,1.162303864,1.103581009,1.108696386,1.16126613,1.291087114,1.535464713,
United Arab Emirates,8.323722245,5.612105523,4.875531805,4.692306267,4.61147764,3.656470678,3.225974473,3.28052137,3.668022649,5.457107773,6.038592208,5.466314528,5.075556494,6.034686251,5.643651352,,,,,,,
Argentina,1.148822677,1.184233542,1.091880479,1.060895057,0.883295359,0.847154784,0.788233877,0.792548175,0.762756475,0.886508577,0.814878105,0.764287094,0.784824721,0.83773643,0.878100919,0.850128583,0.813140078,0.856137916,0.745498855,0.706186671,0.761486737,
Armenia,3.560024873,3.127249385,2.697714749,2.728372214,2.741996705,2.871931363,2.947613156,3.042574701,3.395579363,4.157049908,4.265646056,3.853946441,3.583766919,3.997244557,3.943378265,4.239225786,4.090349217,3.849730577,4.119886153,4.768968354,4.858048412,
Antigua and Barbuda,0,,,,,,,,,,,,,,,,,,,,,
Australia,1.829841913,1.870093879,1.873964621,1.846289689,1.827410769,1.80249268,1.822330926,1.815342245,1.798547172,1.926908956,1.856791362,1.757078228,1.671015795,1.639720581,1.772233857,1.951027863,2.083689225,1.997577266,1.890622246,1.879743267,2.063042777,
Austria,0.98031858,0.908240041,0.883527837,0.913640319,0.893480466,0.850142574,0.785813244,0.900457173,0.870705123,0.833379565,0.821232712,0.790897558,0.778464251,0.750825383,0.747780095,0.698138152,0.729737692,0.757321291,0.744858294,0.72740941,0.836613874,
Azerbaijan,2.267862063,2.312062608,2.24331377,2.426362555,2.629481138,2.299069675,3.417759333,2.864194919,3.291211146,3.325421682,2.791004357,4.670135555,4.658618252,4.54092331,4.555013124,5.464876793,3.688527303,3.756301732,3.562401234,3.873411703,5.390494994,
Burundi,4.862402213,6.071737158,5.441678859,5.533435389,4.903266843,4.436190041,3.511718452,3.414595248,2.720890527,,,,2.527177708,2.367638193,2.119090371,2.201862734,2.115625208,1.870652158,1.882161447,2.497152014,1.97921599,
Belgium,1.341210276,1.276504166,1.215712208,1.214988156,1.149272139,1.091560058,1.051239186,1.094535301,1.213898317,1.160039922,1.084632861,1.043506795,1.04175649,1.008959479,0.970959791,0.909284202,0.894706236,0.883680595,0.890644486,0.89304295,1.080842257,
Benin,0.412852302,0.357971127,0.622819458,0.647223227,0.67614985,0.680970685,0.665723324,,0.66395898,,,,0.702056158,0.687239683,0.700924949,0.798484705,0.673596727,0.920613124,0.63285754,0.472934841,0.470634917,
Burkina Faso,1.392162753,1.299789896,1.324409972,1.207283348,1.357968367,1.351394486,1.249086676,1.592267582,1.397903771,1.521454726,1.377516262,1.294759503,1.323023735,1.390102776,1.431285455,1.419815231,1.375362376,1.556273179,2.165041746,2.606037509,2.733953813,
Bangladesh,1.357119181,1.288422776,1.185764388,1.138286942,1.123505863,1.09089437,1.108238774,1.114480186,1.059529893,1.156730939,1.320837396,1.355517777,1.324419491,1.258197522,1.279412463,1.350969947,1.372321482,1.240256126,1.263999785,1.348906693,1.301862862,
Bulgaria,2.671170465,2.884461387,2.80125965,2.712020749,2.391993484,2.252898222,2.096991297,2.229611261,2.133524802,1.739511524,1.652468225,1.320717319,1.33635532,1.459340112,1.313704521,1.248848117,1.246707289,1.226243678,1.451568367,3.148475544,1.82470414,
Bahrain,3.961670969,4.148081632,4.611106606,4.658832803,4.044928848,3.214381095,3.102947728,2.956990234,2.800161369,3.61053525,3.277755942,3.591497227,3.844573702,4.141451788,4.418589461,4.632877365,4.671440867,4.33877531,4.07429483,4.055054417,4.074397375,
Bahamas,0,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,3.904372905,2.41669769,1.889602808,1.544219658,1.386533488,1.236152863,1.220612,1.376586159,1.280341444,1.136430264,1.145571921,1.087055798,1.025826887,1.000613746,0.933900815,0.864182658,0.852548557,0.8200662,0.875244991,
Belarus,1.346984151,1.438290747,1.400245801,1.2990639,1.358222314,1.498453135,1.709412492,1.649765914,1.453492852,1.372576981,1.341383433,1.22449511,1.229218722,1.270796652,1.26884247,1.257482359,1.253515045,1.146289015,1.182261729,1.226168363,1.25428103,
Belize,0.855252088,0.855039571,0.839626562,0.863555814,0.896738668,0.961314172,1.008915151,1.066140405,1.367605852,1.310816767,1.113671387,1.055329118,0.999351704,1.125663091,1.197789504,1.143856161,1.223192232,1.255364915,1.294665671,1.331671046,1.574830602,
Bolivia,2.062971201,2.264906498,2.029451875,2.145792545,1.924982155,1.772543032,1.567656118,1.686580784,1.96227205,1.994105729,1.666248801,1.684120002,1.845594675,1.840906756,1.89684061,1.743839017,1.627932972,1.536277694,1.536596285,1.463637574,1.57351874,
Brazil,1.730726147,1.951882445,1.895771199,1.503477636,1.461268409,1.524013393,1.481084895,1.4662921,1.441924093,1.538625697,1.539406981,1.411851159,1.378656465,1.329446084,1.330244423,1.365517154,1.347975413,1.414485611,1.494203353,1.407988516,1.439168226,
Barbados,0,,,,,,,,,,,,,,,,,,,,,
Brunei ,4.06920549,3.886397608,3.870782758,3.711419618,2.532730088,2.349427638,2.303963195,2.380152244,2.261792369,2.941072032,2.850487901,2.24224142,2.159034489,2.277507595,3.086860958,3.279290461,3.539384699,2.865169907,2.636612485,3.078642143,4.080878304,
Bhutan,0,,,,,,,,,,,,,,,,,,,,,
Botswana,3.191242951,3.831223033,4.11020649,4.007366589,3.505874041,2.858004185,2.695121374,2.801455193,3.036968238,3.215590561,2.726858683,2.366646334,2.266761131,2.056395513,2.130855509,2.660266574,3.28777595,3.005878803,2.676088923,2.812261003,3.502285859,
Central African Republic,,,1.109131185,1.35309986,1.201693015,1.15123645,,1.125878508,1.587181967,1.816206731,2.597425043,2.271558766,1.970128935,3.155823963,2.25538964,1.686089014,1.528332632,1.435967607,1.43304054,1.915529229,1.872148627,
Canada,1.11808088,1.137368973,1.120852292,1.115878799,1.107966027,1.110669655,1.125832408,1.188901783,1.248621382,1.377555631,1.194338338,1.193291895,1.118404598,1.0023672,0.989925299,1.152709374,1.164161567,1.351602232,1.324681094,1.27894142,1.415055841,
Switzerland,1.029280853,0.991880362,0.956388839,0.926631178,0.888924253,0.852623305,0.772549506,0.734436406,0.71863774,0.726566529,0.682000296,0.688864301,0.663502197,0.706124077,0.628104288,0.643890851,0.657387011,0.656917773,0.632561531,0.699250733,0.778520639,
Channel Islands,0,,,,,,,,,,,,,,,,,,,,,
Chile,2.703282046,2.667495173,2.552093091,2.733843212,2.707975136,2.521502877,2.49083178,2.318802202,2.584010483,2.263607889,2.23946831,2.254395656,2.046290407,1.986419474,1.958526713,1.898487266,1.91538872,1.9358293,1.859638618,1.837381841,1.853907407,
China,1.830343718,1.976185991,2.049686062,1.983406274,1.927764976,1.85334244,1.85464884,1.739812859,1.712334361,1.886133152,1.73947515,1.665576053,1.693368163,1.702855096,1.728689068,1.750717767,1.770695719,1.74645507,1.739533683,1.727827863,1.749795773,
Cote d'Ivoire,,,,1.391605092,1.51507182,1.462534212,1.501948666,1.590764499,1.522855742,1.730239456,1.557966049,1.392028045,1.521417072,1.37538725,1.475969049,1.719446027,1.707463673,1.329599894,1.413435448,1.227480729,1.328239978,
Cameroon,1.324748865,1.290360035,1.338506756,1.383806998,1.401603832,1.243220765,1.32737745,1.326606417,1.312339132,1.319340142,1.354256639,1.18443512,1.217846576,1.214414615,1.149088972,1.144433296,1.187536437,1.173793483,1.11159531,1.086759173,1.010443012,
DR Congo,0.220260773,,,0.880645711,1.336604385,1.380795458,1.434633855,1.254075528,0.808542544,0.656239765,0.851731339,0.92410908,1.134550276,1.146177977,0.95024714,1.295639749,1.066108209,0.770467136,0.623912515,0.708059013,0.749453965,
Congo,,1.948493873,2.341203858,2.682498277,2.673874094,1.657893917,1.637114728,2.260495005,2.041300007,,1.778276155,,,2.61779522,5.007370687,,6.44878239,4.209375353,2.50811728,2.748296599,3.384330555,
Colombia,3.031683539,3.323872819,3.417127624,3.463988691,3.465015174,3.352873388,3.276130639,3.266739663,3.744606437,3.885353868,3.642755602,3.081613642,3.158960235,3.274401004,3.108258848,3.109960084,3.071131026,3.209062437,3.062105511,3.140733964,3.375763519,
Comoros,0,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,1.154025913,0.753615197,0.66548029,0.648753559,0.630978438,0.649497233,0.564741208,0.524703169,0.601269382,0.490877611,0.495061947,0.523241061,0.555765135,0.530303913,0.540807447,0.558982326,0.61182693,0.53085719,0.542008419,0.488213087,0.590190723,
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cuba,,,,,,,,,,3.380960052,3.326856112,3.084505001,3.937599978,3.512728781,3.536004761,3.083791445,3.072187925,2.872403239,2.876207372,,,
Curacao,0,,,,,,,,,,,,,,,,,,,,,
Cyprus,2.822090151,3.153222159,2.130160735,1.985163124,1.955769162,2.037469743,1.899997863,1.684599658,1.629704944,1.816819508,1.857807744,1.742662349,1.659398696,1.611061582,1.547260522,1.653213363,1.410825734,1.583111306,1.780485709,1.609466806,1.778940478,
Czech Republic (Czechia),1.877356956,1.751249558,1.824406968,1.892764044,1.713703173,1.790083772,1.575906158,1.430914735,1.232471567,1.310564143,1.194772181,1.077836499,1.063216817,1.01508372,0.966227818,0.946582096,0.996128103,0.956655422,1.08885095,1.160877615,1.354845043,
Germany,1.358883033,1.323438303,1.327958121,1.316924865,1.268957396,1.065629701,1.199302958,1.172471765,1.209034004,1.310604073,1.266826626,1.206150336,1.241677479,1.185257901,1.149941997,1.137338427,1.149654485,1.154049407,1.171816792,1.269146867,1.399730368,
