Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,97.14286041,94.40406799,94.75524139,90.21591949,90.55989838,88.19796753,93.18611908,95.58824158,95.13303375,96.2425766,94.78610229,,,96.57064056,101.1805573,,,,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,80.49504089,84.41494751,85.62532806,84.33058929,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,39.19701004,38.78757858,39.80720901,46.18714905,,,,,,,,,,
Albania,96.58268738,96.39394379,,94.44817352,93.43779755,,,96.19241333,92.39359283,91.05149078,88.83624268,92.98265839,98.67212677,89.53917694,100.9847183,98.86158752,99.88155365,101.9837036,101.5378571,103.3227463,100.7324066,
Andorra,,,,,,,,,,,,,,,,,,,,,,
Arab World,75.54741669,76.56347656,77.41953278,79.82804108,81.66796875,82.69515228,80.90484619,82.70838165,84.57465363,82.89109802,84.36582947,85.1756897,87.03526306,85.06060791,85.99526978,84.90283966,84.34924316,84.49780273,85.40995789,86.52622986,87.33290863,
United Arab Emirates,80.28414154,76.57745361,80.73298645,,,,,97.45088959,,,,,93.94155884,95.68698883,99.14914703,103.5202026,,,,111.9388199,104.7111969,
Argentina,97.34647369,96.8216629,100.515831,98.16793823,96.57994843,94.64183044,97.10247803,99.86782074,103.1421738,103.3038712,103.5674133,103.8877106,103.3522491,101.6450119,103.1064377,102.9737396,103.8935699,99.96276093,98.70625305,98.54724121,,
Armenia,,,93.70575714,89.27111053,100.0474701,92.69158173,93.81121063,102.0697098,105.7928925,,94.49523163,93.80896759,93.8516922,,96.65222931,94.59063721,90.7516098,91.98770905,89.87895966,93.13851929,93.16529083,
American Samoa,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,110.5548019,101.263298,106.6099472,103.6769485,,108.1081085,111.150322,92.55548096,93.58789825,98.18578339,96.19882965,,,
Australia,,,,,,,,,,,,,,,,,,,,,,
Austria,,,100.2221985,,98.74430084,,,,,,,96.77201843,96.69371796,97.60601044,98.69184875,100.3737869,99.65672302,99.45317841,99.81300354,99.40850067,,
Azerbaijan,89.51351166,95.1685791,97.58601379,92.69615173,95.59542847,93.43061829,91.6054306,98.13037109,90.73683167,91.77172089,89.51445007,92.80683136,91.99118805,88.08940887,98.12570953,103.2802124,111.3019104,107.1721725,100.2199478,100.3833389,99.51779938,
Burundi,24.35050011,24.78704071,25.1833992,29.58313942,31.79199982,33.94643021,,38.66096115,41.65348816,48.35905838,51.54841995,56.37577057,62.99792099,70.719841,69.56655884,64.53968048,67.67450714,68.37870026,63.02138901,59.37641907,,52.94527054
Belgium,,,,,,,,,,,,,,,,,,,,,,
Benin,37.80432892,41.67731857,43.78899002,48.11962891,51.87131882,,,,63.67050171,,66.71160889,71.6880188,73.04107666,78.60559845,79.45439911,81.14032745,80.74555969,,,64.43959808,62.42148972,
Burkina Faso,25.42222023,26.67761993,27.48546982,29.11165047,30.42653084,31.7365799,32.80561829,34.97426987,38.86925888,43.91450882,47.05522156,53.66107178,57.36603165,62.34405136,60.84949875,62.02980042,61.72433853,63.51921844,65.47892761,64.54945374,64.88916779,
Bangladesh,,,,,,66.32054901,,,59.02299118,65.45803833,67.83219147,,,,,,,,,,,
Bulgaria,96.15943146,101.7548599,96.5668869,97.79255676,98.64273071,98.65926361,99.3508606,101.33284,95.15364838,101.7043991,113.3395615,110.2010422,101.8105621,98.95879364,97.95253754,96.19129181,92.04534149,89.81646729,86.6185379,84.97651672,,
Bahrain,98.78814697,96.68489075,100.5414276,100.1033096,102.0471191,101.6284485,,,,,,89.47138214,93.22641754,94.48236847,96.6472168,98.74027252,99.51364899,99.45120239,97.87412262,100.241188,,
"Bahamas, The",,,,,,101.8654938,95.83602905,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,74.04312897,76.02568817,79.58563232,93.2427597,101.4054565,93.79035187,89.0358963,85.42336273,,,
