Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,0.03229,,,,,
Albania,,,,,,,,0.087569997,0.154119998,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,0.486220002,,,0.693599999,0.895039976,0.963660002,,1.278360009,1.313079953,1.449339986,
Argentina,0.438840002,0.424609989,0.388859987,0.410129994,0.403759986,0.420740008,0.452160001,0.460070014,0.470550001,0.583980024,0.561039984,0.565970004,0.634909987,0.618489981,0.593959987,0.622619987,0.558149993,0.556309998,0.494349986,0.457130015,,
Armenia,0.191060007,0.279870003,0.252550006,0.321090013,0.256590009,0.257609993,0.240569994,0.211070001,0.224380001,0.290930003,0.241390005,0.270139992,0.238529995,0.222159997,0.241510004,0.250019997,0.233050004,0.227880001,0.188759997,0.178540006,0.209209993,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,
Australia,1.574239969,,1.748540044,,1.849499941,,2.181129932,,2.401119947,,2.372859955,2.235630035,,2.178489923,,1.920830011,,1.879259944,,1.829280019,,
Austria,1.886019945,1.9921,2.065979958,2.17456007,2.166120052,2.373239994,2.359230042,2.41843009,2.569449902,2.596740007,2.726099968,2.668679953,2.914720058,2.954920053,3.084290028,3.049690008,3.116549969,3.05656004,3.090579987,3.129719973,3.201280117,
Azerbaijan,0.335999995,0.340009987,0.301550001,0.324959993,0.298310012,0.219940007,0.171650007,0.170059994,0.165539995,0.249760002,0.218480006,0.210840002,0.214269996,0.209690005,0.209779993,0.222320005,0.206369996,0.18468,0.184159994,0.200130001,0.224350005,
Burundi,,,,,,,,0.200680003,0.154170007,0.140959993,0.137189999,,0.107019998,,,,,,0.213119999,,,
Belgium,1.936190009,2.032789946,1.903249979,1.841189981,1.820500016,1.790609956,1.82269001,1.84999001,1.936840057,1.998600006,2.061880112,2.173320055,2.281140089,2.330729961,2.370019913,2.428169966,2.523380041,2.66666007,2.860310078,3.160000086,3.477200031,
Benin,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,,0.168160006,0.301109999,0.241119996,0.21514,0.151659995,,0.098360002,0.165680006,0.177870005,,,,,0.197190002,,,0.613610029,,0.172780007,0.248239994,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,0.495169997,0.44709,0.464729995,0.472220004,0.470860004,0.442690015,0.44216001,0.430299997,0.447659999,0.49338001,0.563069999,0.529510021,0.600359976,0.634329975,0.79005003,0.949169993,0.769760013,0.739950001,0.753790021,0.832369983,0.853510022,
Bahrain,,,,,,,,,,,,,,,0.101159997,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,0.01826,0.015900001,0.026969999,0.01969,0.025210001,0.01842,0.021059999,,,0.265329987,0.321319997,0.257250011,0.218600005,0.215939999,0.200479999,0.194849998,0.192640007,0.206139997,
Belarus,0.722100019,0.708760023,0.620899975,0.611469984,0.627590001,0.678520024,0.660650015,0.962029994,0.741469979,0.621670008,0.669130027,0.677600026,0.646030009,0.651910007,0.505479991,0.499989986,0.500630021,0.584110022,0.60443002,0.577329993,0.548969984,
Belize,,,,,,,,,,,,,,,,,,,,,,
Bolivia,0.287440002,0.293579996,0.276630014,,,,,,,0.157000005,,,,,,,,,,,,
Brazil,1.047510028,1.061980009,1.009680033,0.999390006,0.963429987,1.002460003,0.988070011,1.08138001,1.129040003,1.118659973,1.159919977,1.139660001,1.126839995,1.195670009,1.269709945,1.370929956,1.286370039,1.117499948,1.167690039,1.208029985,,
Barbados,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,0.01592,0.01842,0.037009999,,,,,,,,,,,,,,0.277630001,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,
Botswana,,,,,,0.532859981,,,,,,,0.2588,0.537280023,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,
Canada,1.858479977,2.021169901,1.971709967,1.967810035,1.997339964,1.971269965,1.943040013,1.90357995,1.855780005,1.91742003,1.825279951,1.787140012,1.772320032,1.70539999,1.714169979,1.693240047,1.728729963,1.685799956,1.679170012,1.591629982,1.697810054,
Switzerland,2.25880003,,,,2.597769976,,,,2.63883996,,,,2.850939989,,,3.043109894,,3.034130096,,3.146859884,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,0.309570014,0.374969989,0.352019995,0.329470009,0.351440012,0.362199992,0.388700008,0.375030011,0.380730003,0.369340003,0.355930001,0.366470009,0.340950012,,
China,0.893159986,0.940330029,1.057860017,1.12037003,1.214980006,1.307919979,1.368540049,1.373690009,1.445919991,1.664800048,1.713719964,1.780339956,1.912140012,1.997859955,2.022429943,2.057009935,2.100330114,2.116029978,2.140579939,2.244630098,2.400929928,
Cote d'Ivoire,,,,,,,,,,,,,,,,,0.0704,,,,,
